Locus_Tag,Protein Name,Functional_Group_Name,KO_IDs,KEGG_Pathway_IDs,KEGG_Pathway_Names,KEGG_Pathway_Categories,COG_Category_ID,COG_Category_Name,EC_Numbers,EC_Descriptions,GO_IDs,GO_Names,PFAM_Domains,Tags,Subcategories,Confidence_Score,Notes,
BFJEKD_07875,Heme ABC exporter ATP-binding protein CcmA,ABC transporter ATPase involved in heme export,['K02193'],['map00190'],['Oxidative phosphorylation'],['Energy metabolism'],COG4133,Energy production and conversion,"['7.6.2.5', '3.6.3.41']","['ABC-type heme exporter', 'ATPase activity, coupled to transmembrane movement of substances']","['GO:1904334', 'GO:0006810', 'GO:0022857', 'GO:0005886', 'GO:0036094', 'GO:0071840', 'GO:0017004', 'GO:0046906', 'GO:0032585', 'GO:0043588']","['heme transport', 'transport', 'transmembrane transporter activity', 'integral component of plasma membrane', 'ATPase-coupled transmembrane transporter activity', 'heme transmembrane transporter activity', 'ATPase activity', 'ATP binding', 'ATPase activity, coupled to movement of substances', 'heme transmembrane transporter activity']","[{'id': 'PF00005', 'name': 'ABC_tran'}]","['heme export', 'ABC transporter', 'ATPase', 'membrane transporter', 'energy metabolism']",['Toxin-Antitoxin & Phage Defense'],High,ATP-binding component of the Ccm heme export system; provides energy for heme translocation; critical for cytochrome c biogenesis.,
BFJEKD_07880,Cytochrome c556,Cytochrome c electron transport protein,,['map00190'],['Oxidative phosphorylation'],['Energy metabolism'],COG3909,Energy production and conversion,,,"['GO:0009055', 'GO:0022900', 'GO:0042597', 'GO:0020037', 'GO:0005506']","['electron transfer activity', 'electron transport chain', 'cytochrome complex', 'heme transport', 'iron ion binding']","[{'id': 'PF00034', 'name': 'Cytochrom_C_2'}]","['cytochrome c', 'electron transport', 'heme protein', 'energy metabolism']",['Toxin-Antitoxin & Phage Defense'],Medium,Likely involved in electron transport as a c-type cytochrome; lacks KO but strong PFAM and GO support; useful for grouping under respiratory chain components.,
BFJEKD_07885,Hypothetical protein,Uncharacterized protein,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation or domain detected; cannot assign function or group; exclude or treat separately in downstream analyses.,
BFJEKD_07890,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Lipid A biosynthesis enzyme,['K02536'],['map00540'],['Lipopolysaccharide biosynthesis'],['Metabolism'],COG1044,Lipid transport and metabolism,['2.3.1.191'],['UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase'],"['GO:0009058', 'GO:0016740', 'GO:0019637', 'GO:0009247', 'GO:0008152', 'GO:0006664', 'GO:0016746', 'GO:0005829', 'GO:0005739', 'GO:0006793']","['biosynthetic process', 'transferase activity', 'lipid A biosynthetic process', 'lipopolysaccharide biosynthetic process', 'metabolic process', 'phospholipid biosynthetic process', 'acyltransferase activity', 'cytosol', 'mitochondrion', 'phosphorus metabolic process']","[{'id': 'PF01447', 'name': 'Hexapep'}, {'id': 'PF01448', 'name': 'Hexapep_2'}, {'id': 'PF02652', 'name': 'LpxD'}]","['lipid A biosynthesis', 'lipopolysaccharide biosynthesis', 'membrane-associated enzyme', 'acyltransferase']",['Polyhydroxyalkanoates & Storage Lipids'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with lipid A biosynthesis; important for outer membrane integrity and LPS anchoring.",
BFJEKD_07895,acyl carrier protein,Fatty acid biosynthesis carrier protein,['K02078'],['map00061'],['Fatty acid biosynthesis'],['Metabolism'],COG0236,Lipid transport and metabolism,,,"['GO:0005829', 'GO:0006633', 'GO:0000036', 'GO:0009245', 'GO:0000035']","['cytosol', 'fatty acid biosynthetic process', 'acyl carrier activity', 'lipid A biosynthetic process', 'fatty acid metabolic process']","[{'id': 'PF00550', 'name': 'PP-binding'}]","['fatty acid biosynthesis', 'acyl carrier protein', 'lipid metabolism']",['Unknown & Hypothetical Proteins'],High,Well-annotated carrier protein essential for fatty acid chain elongation; no EC number as it is not an enzyme but a carrier.,
BFJEKD_07900,3-oxoacyl-(acyl-carrier-protein) synthase II,Fatty acid elongation enzyme,"['K09458', 'K14660']",['map00061'],['Fatty acid biosynthesis'],['Metabolism'],COG0304,Lipid transport and metabolism,['2.3.1.179'],['3-oxoacyl-[acyl-carrier-protein] synthase II'],"['GO:0004312', 'GO:0006637', 'GO:0008654', 'GO:0005829', 'GO:0016746', 'GO:0005737', 'GO:0009058', 'GO:0008152', 'GO:0016020', 'GO:0006694']","['3-oxoacyl-[acyl-carrier-protein] synthase activity', 'fatty acid biosynthetic process', 'fatty acid elongation', 'cytosol', 'transferase activity', 'mitochondrion', 'biosynthetic process', 'metabolic process', 'membrane', 'fatty acid metabolic process']","[{'id': 'PF00109', 'name': 'Ketoacyl-synt_C'}, {'id': 'PF00109', 'name': 'ketoacyl-synt'}]","['fatty acid biosynthesis', 'beta-ketoacyl synthase', 'fatty acid elongation', 'lipid metabolism']",['Unknown & Hypothetical Proteins'],High,Complete annotation with dual KO IDs reflecting isoforms; key enzyme in fatty acid chain elongation.,
BFJEKD_07905,DUF523 domain-containing protein,Protein of unknown function (DUF523),,,,,COG1683,Function unknown,,,,,"[{'id': 'PF04536', 'name': 'DUF523'}]","['unknown function', 'DUF523']",['Secretion & Transport Systems'],Low,No functional annotation available beyond domain and COG; likely not useful for functional grouping or DE analysis without further experimental data.,
BFJEKD_07910,Heme ABC exporter ATP-binding protein CcmA,ABC Transporter ATPase,['K01990'],['ko02010'],['ABC transporters'],['Membrane transport'],COG0488,ATPase involved in transport,['3.6.3.-'],['ATPase involved in transmembrane movement of substances'],"['GO:0016887', 'GO:0005524']","['ATPase activity', 'ATP binding']","[{'id': 'PF00005', 'name': 'ABC_tran'}]","['heme export', 'ABC transporter', 'ATPase', 'membrane transport']",['Secretion & Transport Systems'],High,CcmA is a well-characterized ABC transporter ATPase involved in heme export; KO inferred from product and COG; EC inferred from KO.,
BFJEKD_07915,Amino acid transporter (LysE family),Amino Acid Transporter,['K05834'],['ko02010'],['ABC transporters'],['Membrane transport'],COG1280,Amino acid transporters,,,"['GO:0042968', 'GO:0006865', 'GO:0016020', 'GO:0015171', 'GO:0005886', 'GO:0042970']","['amino acid transmembrane transporter activity', 'membrane transport', 'integral component of membrane', 'amino acid transmembrane transporter activity', 'plasma membrane', 'amino acid export']","[{'id': 'PF03547', 'name': 'LysE'}]","['amino acid transporter', 'membrane transporter', 'LysE family']",['Secretion & Transport Systems'],High,KO present and consistent with product; no EC assigned as transporter; GO terms support amino acid transport function.,
BFJEKD_07920,Acetyl-CoA carboxylase biotin carboxyl carrier protein subunit,Carboxylase Biotin Carrier Protein,['K23351'],['ko00780'],['Biotin metabolism'],['Metabolism'],COG4770,Biotin-dependent carboxylases,,,,,"[{'id': 'PF00364', 'name': 'Biotin_lipoyl'}]","['biotin carboxyl carrier', 'carboxylase', 'biotin metabolism']",['Carbon Concentrating & Fixation'],Medium,KO indicates biotin carboxyl carrier protein; no GO terms provided; EC not assigned as this subunit is non-catalytic carrier.,
BFJEKD_07925,Oxaloacetate decarboxylase gamma chain,Oxaloacetate Decarboxylase Subunit,['K23352'],['ko00620'],['Pyruvate metabolism'],['Metabolism'],,,['4.1.1.3'],['Oxaloacetate decarboxylase'],,,"[{'id': 'PF04189', 'name': 'OAD_gamma'}]","['oxaloacetate decarboxylase', 'carboxylase', 'metabolism']",['Amino Acid Biosynthesis'],Medium,KO and PFAM consistent with oxaloacetate decarboxylase gamma subunit; EC inferred from KO; no GO or COG data.,
BFJEKD_07930,Methylmalonyl-CoA carboxyltransferase,Carboxyltransferase,,,,,COG4799,Carboxyltransferases,['2.1.3.1'],['Methylmalonyl-CoA carboxytransferase'],"['GO:0009317', 'GO:0004658', 'GO:0006633', 'GO:0016874', 'GO:0003989']","['methylmalonyl-CoA decarboxylase activity', 'carboxyltransferase activity', 'fatty acid biosynthetic process', 'ligase activity', 'transcarboxylase activity']","[{'id': 'PF01039', 'name': 'Carboxyl_trans'}]","['carboxyltransferase', 'methylmalonyl-CoA metabolism', 'fatty acid biosynthesis']",['Unknown & Hypothetical Proteins'],High,EC assigned based on GO and COG; PFAM domain supports carboxyltransferase function; no KO assigned.,
BFJEKD_07935,acetyl/propionyl-CoA carboxylase subunit alpha,Carboxylase enzyme involved in fatty acid and propionate metabolism,['K01965'],"['ko00770', 'ko00061']","['Fatty acid metabolism', 'Fatty acid biosynthesis']","['Metabolism', 'Lipid metabolism']",COG4770,Carboxylase/biotin-dependent enzymes,['6.4.1.3'],['propionyl-CoA carboxylase'],"['GO:0009055', 'GO:0016491', 'GO:0016740', 'GO:0005524', 'GO:0005737', 'GO:0006631', 'GO:0003989', 'GO:0000287', 'GO:0005829', 'GO:0046872']","['electron transfer activity', 'oxidoreductase activity', 'transferase activity', 'ATP binding', 'mitochondrion', 'fatty acid metabolic process', 'propionyl-CoA carboxylase activity', 'ATPase activity', 'cytosol', 'metal ion binding']","[{'id': 'PF01039', 'name': 'Biotin_carboxylase_C'}, {'id': 'PF00364', 'name': 'Biotin_carboxylase_N'}, {'id': 'PF00374', 'name': 'Biotin_lipoyl'}, {'id': 'PF02747', 'name': 'CPSase_L_D2'}]","['carboxylase', 'fatty acid metabolism', 'biotin-dependent enzyme', 'propionate metabolism']",['Amino Acid Biosynthesis'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with propionyl-CoA carboxylase alpha subunit function; suitable for grouping in fatty acid and propionate metabolism clusters.",
BFJEKD_07940,methylmalonyl-CoA carboxyltransferase,Carboxyltransferase enzyme involved in propionate metabolism,['K01966'],"['ko00770', 'ko00061']","['Fatty acid metabolism', 'Fatty acid biosynthesis']","['Metabolism', 'Lipid metabolism']",COG4799,Carboxyltransferase component,"['2.1.3.15', '6.4.1.3']","['methylmalonyl-CoA carboxytransferase', 'propionyl-CoA carboxylase']","['GO:0016740', 'GO:0008270', 'GO:0006552', 'GO:0004485', 'GO:0005739', 'GO:1905202', 'GO:0005759', 'GO:0019899', 'GO:0016874', 'GO:0003989']","['transferase activity', 'zinc ion binding', 'propionate metabolic process', 'carboxyltransferase activity', 'mitochondrion', 'methylmalonyl-CoA metabolic process', 'mitochondrial matrix', 'electron transport', 'ligase activity', 'propionyl-CoA carboxylase activity']","[{'id': 'PF00155', 'name': 'Carboxyl_trans'}]","['carboxyltransferase', 'propionate metabolism', 'fatty acid metabolism']",['Amino Acid Biosynthesis'],High,Annotation consistent with methylmalonyl-CoA carboxyltransferase beta subunit; EC numbers inferred from KO and definition; important for propionate and fatty acid metabolism grouping.,
BFJEKD_07945,1-deoxy-D-xylulose-5-phosphate synthase,Thiamine diphosphate-dependent enzyme in non-mevalonate isoprenoid biosynthesis,['K01662'],"['ko00900', 'ko00780']","['Terpenoid backbone biosynthesis', 'Biosynthesis of secondary metabolites']","['Metabolism', 'Biosynthesis of other secondary metabolites']",COG1154,Thiamine diphosphate-dependent enzyme,['2.2.1.7'],['1-deoxy-D-xylulose-5-phosphate synthase'],"['GO:0009058', 'GO:0016740', 'GO:0006766', 'GO:0008150', 'GO:0005488', 'GO:0046872', 'GO:0003674', 'GO:0005829', 'GO:0006767', 'GO:0006721']","['biosynthetic process', 'transferase activity', 'tetrapyrrole biosynthetic process', 'biological_process', 'enzyme binding', 'metal ion binding', 'molecular_function', 'cytosol', 'tetrapyrrole metabolic process', 'isoprenoid biosynthetic process']","[{'id': 'PF02775', 'name': 'DXP_synthase_N'}, {'id': 'PF00456', 'name': 'Transket_pyr'}, {'id': 'PF02879', 'name': 'Transketolase_C'}]","['isoprenoid biosynthesis', 'thiamine diphosphate enzyme', 'secondary metabolite biosynthesis']",['Protein Processing & Degradation'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains; key enzyme in non-mevalonate pathway for isoprenoid biosynthesis; useful for grouping in terpenoid biosynthesis and secondary metabolism.",
BFJEKD_07950,Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla,Phospholipid transport system lipoprotein component,['K04754'],['ko02010'],['ABC transporters'],['Membrane transport'],COG2853,Lipoprotein component of ABC-type transporter,,,"['GO:0120010', 'GO:0016020']","['phospholipid transport', 'membrane']","[{'id': 'PF05497', 'name': 'MlaA'}]","['phospholipid transport', 'ABC transporter', 'membrane lipoprotein']",['Cell Wall & Envelope Biogenesis'],High,Well-annotated lipoprotein subunit of Mla ABC transporter system; important for membrane lipid homeostasis; relevant for membrane transport and lipid transport functional grouping.,
BFJEKD_07955,Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla,Phospholipid transport system substrate-binding protein,['K07323'],['ko02010'],['ABC transporters'],['Membrane transport'],COG2854,Substrate-binding protein of ABC transporter,,,,,"[{'id': 'PF05498', 'name': 'MlaC'}]","['phospholipid transport', 'ABC transporter', 'substrate-binding protein']",['Cell Wall & Envelope Biogenesis'],Medium,"Annotation supported by KO, COG, and PFAM; lacks GO terms but function inferred from homology; important for membrane lipid transport system grouping.",
BFJEKD_07960,"Putative exporter protein, RND superfamily (MMPL family)",Membrane Transporter - RND Efflux System,['K07003'],['ko02010'],['ABC transporters'],['Membrane transport'],COG1033,"Secondary metabolites biosynthesis, transport and catabolism",,,"['GO:0005886', 'GO:0016020']","['plasma membrane', 'membrane']","[{'id': 'PF03176', 'name': 'MMPL'}]","['membrane transporter', 'RND efflux', 'exporter']","['Protein Folding, Quality Control & Stress Response']",High,RND superfamily exporter likely involved in efflux of secondary metabolites or toxins; important for grouping as membrane transporter and efflux pump.,
BFJEKD_07965,"NAD-dependent dehydratase (dihydroflavonol-4-reductase, DfrA)",Oxidoreductase - Flavonoid Biosynthesis,['K00091'],['ko00941'],['Flavonoid biosynthesis'],['Metabolism'],COG0451,"Secondary metabolites biosynthesis, transport and catabolism",['1.1.1.219'],['dihydroflavonol-4-reductase'],"['GO:0032040', 'GO:0016491', 'GO:0008270', 'GO:0005524', 'GO:0009813', 'GO:0080110', 'GO:0015297', 'GO:0012505', 'GO:0030692', 'GO:0048316']","['flavonoid biosynthetic process', 'oxidoreductase activity', 'metal ion binding', 'ATP binding', 'defense response to bacterium', 'regulation of defense response', 'transmembrane transporter activity', 'cell wall organization', 'regulation of programmed cell death', 'protein autophosphorylation']","[{'id': 'PF01370', 'name': 'Epimerase'}]","['oxidoreductase', 'flavonoid biosynthesis', 'secondary metabolism']",['Toxin-Antitoxin & Phage Defense'],High,Well-annotated enzyme involved in flavonoid biosynthesis; relevant for metabolic pathway grouping and differential expression in secondary metabolism.,
BFJEKD_07970,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (IspH),Isoprenoid Biosynthesis - MEP Pathway,['K03527'],['ko00900'],['Terpenoid backbone biosynthesis'],['Metabolism'],COG0761,Coenzyme transport and metabolism,['1.17.7.4'],['4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase'],"['GO:0020011', 'GO:0005829', 'GO:0005886', 'GO:0051538', 'GO:0019288', 'GO:0010322', 'GO:0016114', 'GO:0051745', 'GO:0046872', 'GO:0009570']","['isoprenoid biosynthetic process', 'cytosol', 'plasma membrane', 'iron-sulfur cluster assembly', 'oxidoreductase activity, acting on iron-sulfur proteins', 'ferredoxin electron transfer activity', 'isoprenoid biosynthetic process', 'response to oxidative stress', 'oxidoreductase activity', 'chloroplast thylakoid membrane']","[{'id': 'PF01978', 'name': 'LYTB'}]","['isoprenoid biosynthesis', 'MEP pathway', 'oxidoreductase']",['Toxin-Antitoxin & Phage Defense'],High,Key enzyme in MEP pathway for isoprenoid precursor biosynthesis; important for grouping in terpenoid metabolism.,
BFJEKD_07975,Adenosyl-hopene transferase HpnH,Hopanoid Biosynthesis - Radical SAM Enzyme,,,,,COG0535,Coenzyme transport and metabolism,,,"['GO:0003824', 'GO:0051536']","['catalytic activity', 'coenzyme metabolic process']","[{'id': 'PF12050', 'name': 'DUF3463'}, {'id': 'PF12137', 'name': 'Fer4_14'}, {'id': 'PF04055', 'name': 'Radical_SAM'}]","['hopanoid biosynthesis', 'radical SAM enzyme', 'coenzyme metabolism']",['Cell Wall & Envelope Biogenesis'],Medium,Radical SAM enzyme involved in hopanoid biosynthesis; lacks KO and EC but domain architecture supports function; useful for grouping in lipid biosynthesis.,
BFJEKD_07980,Uridine phosphorylase,Nucleotide Metabolism - Pyrimidine Salvage,['K01243'],['ko00240'],['Pyrimidine metabolism'],['Metabolism'],COG2820,Nucleotide transport and metabolism,['3.2.2.9'],['uridine phosphorylase'],"['GO:0005829', 'GO:0009234', 'GO:0019284', 'GO:0046124', 'GO:0008782', 'GO:0042802', 'GO:0019509', 'GO:0110052', 'GO:0008930', 'GO:0009164']","['cytosol', 'pyrimidine nucleoside salvage', 'phosphorolysis', 'nucleoside metabolic process', 'phosphorylase activity', 'enzyme regulator activity', 'ribose phosphate metabolic process', 'nucleotide biosynthetic process', 'uridine metabolic process', 'nucleoside metabolic process']","[{'id': 'PF00480', 'name': 'PNP_UDP_1'}]","['nucleotide metabolism', 'pyrimidine salvage', 'phosphorylase']",['Polyhydroxyalkanoates & Storage Lipids'],High,Well-characterized enzyme in pyrimidine salvage pathway; important for nucleotide metabolism grouping.,
BFJEKD_07985,squalene-hopene cyclase,Triterpene Cyclase / Hopanoid Biosynthesis,['K06045'],['map01055'],['Biosynthesis of terpenoids and steroids'],['Metabolism'],COG1657,"Secondary metabolites biosynthesis, transport and catabolism","['5.4.99.17', '4.2.1.129']","['squalene-hopene cyclase', 'hydroxysqualene synthase']","['GO:0016020', 'GO:0005886', 'GO:0005811', 'GO:0051007', 'GO:0016104', 'GO:0016866', 'GO:0016829']","['membrane', 'plasma membrane', 'microtubule organizing center', 'isoprenoid biosynthetic process', 'squalene-hopene cyclase activity', 'transferase activity, transferring alkyl or aryl (other than methyl) groups', 'diphosphomevalonate decarboxylase activity']","[{'id': 'PF13249', 'name': 'SQHop_cyclase_C'}, {'id': 'PF13243', 'name': 'SQHop_cyclase_N'}]","['hopanoid biosynthesis', 'triterpene cyclase', 'membrane-associated enzyme']",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with hopanoid biosynthesis; important for membrane stability and stress response.",
BFJEKD_07990,hydroxysqualene dehydroxylase HpnE,Oxidoreductase / Hopanoid Biosynthesis,['K21677'],['map01055'],['Biosynthesis of terpenoids and steroids'],['Metabolism'],COG3349,Oxidoreductases involved in secondary metabolite biosynthesis,['1.17.8.1'],['hydroxysqualene dehydroxylase'],"['GO:0051996', 'GO:0016491', 'GO:0016117', 'GO:0004311', 'GO:0016020', 'GO:0008299']","['isoprenoid biosynthetic process', 'oxidoreductase activity', 'diphosphomevalonate decarboxylase activity', 'squalene synthase activity', 'membrane', 'hopanoid biosynthetic process']","[{'id': 'PF01593', 'name': 'Amino_oxidase'}]","['hopanoid biosynthesis', 'oxidoreductase', 'membrane-associated enzyme']",['Unknown & Hypothetical Proteins'],High,Well-annotated oxidoreductase involved in hopanoid biosynthesis; key for modification of squalene derivatives.,
BFJEKD_07995,presqualene diphosphate synthase HpnD,Isoprenoid Biosynthesis / Terpene Synthase,"['K21678', 'K02291']",['map01055'],['Biosynthesis of terpenoids and steroids'],['Metabolism'],COG1562,Terpene synthases and prenyltransferases,"['2.5.1.103', '2.5.1.32']","['presqualene diphosphate synthase', '15-cis-phytoene synthase']","['GO:0009058', 'GO:0051996', 'GO:0016117', 'GO:0016740', 'GO:0046905', 'GO:0046872', 'GO:0008610', 'GO:0045338', 'GO:0004311', 'GO:0005789']","['biosynthetic process', 'isoprenoid biosynthetic process', 'diphosphomevalonate decarboxylase activity', 'transferase activity, transferring acyl groups', 'terpene synthase activity', 'enzyme regulator activity', 'carotenoid biosynthetic process', 'protein targeting to membrane', 'squalene synthase activity', 'endoplasmic reticulum']","[{'id': 'PF00485', 'name': 'Glyco_tranf_2_3'}, {'id': 'PF00535', 'name': 'Glycos_transf_2'}, {'id': 'PF19086', 'name': 'SQS_PSY'}]","['isoprenoid biosynthesis', 'terpene synthase', 'carotenoid biosynthesis']",['Secretion & Transport Systems'],High,Dual annotation reflects enzyme multifunctionality in isoprenoid and carotenoid biosynthesis; important for membrane lipid and pigment production.,
BFJEKD_08000,squalene synthase HpnC,Isoprenoid Biosynthesis / Terpene Synthase,"['K21678', 'K21679']",['map01055'],['Biosynthesis of terpenoids and steroids'],['Metabolism'],COG1562,Terpene synthases and prenyltransferases,"['2.5.1.103', '4.2.3.156']","['presqualene diphosphate synthase', 'hydroxysqualene synthase']","['GO:0009058', 'GO:0051996', 'GO:0016117', 'GO:0016740', 'GO:0016114', 'GO:0046872', 'GO:0008610', 'GO:0045338', 'GO:0004311', 'GO:0016829', 'GO:0005789']","['biosynthetic process', 'isoprenoid biosynthetic process', 'diphosphomevalonate decarboxylase activity', 'transferase activity, transferring acyl groups', 'oxidoreductase activity', 'enzyme regulator activity', 'carotenoid biosynthetic process', 'protein targeting to membrane', 'squalene synthase activity', 'transferase activity, transferring alkyl or aryl (other than methyl) groups', 'endoplasmic reticulum']","[{'id': 'PF19086', 'name': 'SQS_PSY'}]","['isoprenoid biosynthesis', 'terpene synthase', 'carotenoid biosynthesis']",['Secretion & Transport Systems'],High,Enzyme catalyzes key steps in hopanoid and carotenoid biosynthesis; multiple KO and EC numbers reflect multifunctionality.,
BFJEKD_08005,"two-component system, cell cycle sensor histidine kinase PleC",Two-Component Signal Transduction System,['K07716'],['ko02020'],['Two-component system'],['Environmental Information Processing'],COG2202,Signal transduction mechanisms,['2.7.13.3'],['Histidine kinase'],"['GO:0004672', 'GO:0000160', 'GO:0005886', 'GO:0000155', 'GO:0007165', 'GO:0004721', 'GO:0005524', 'GO:0009639', 'GO:0006355', 'GO:0009881']","['protein kinase activity', 'signal transduction', 'plasma membrane', 'two-component sensor activity', 'signal transduction', 'protein histidine phosphatase activity', 'ATP binding', 'response to light stimulus', 'transcription, DNA-templated', 'response to stimulus']","[{'id': 'PF02518', 'name': 'HATPase_c'}, {'id': 'PF00512', 'name': 'HisKA'}, {'id': 'PF08447', 'name': 'PAS_3'}, {'id': 'PF08448', 'name': 'PAS_4'}, {'id': 'PF08449', 'name': 'PAS_7'}]","['two-component system', 'signal transduction', 'histidine kinase', 'sensor kinase', 'membrane protein']",['Secretion & Transport Systems'],High,"Complete annotation with KO, EC, GO, COG, and PFAM domains consistent with a sensor histidine kinase involved in two-component signal transduction. Suitable for grouping under signal transduction and two-component systems.",
BFJEKD_08010,Domain of unknown function DUF123 domain-containing protein,Uncharacterized Protein,,,,,COG1833,Function unknown,,,,,"[{'id': 'PF01344', 'name': 'DUF123'}]","['unknown function', 'DUF123']",['Carbon Concentrating & Fixation'],Low,"No KO, EC, or GO annotations available. Only COG and PFAM domain DUF123 indicating unknown function. Should be treated as uncharacterized in downstream analyses.",
BFJEKD_08015,Lysophospholipase (alpha/beta hydrolase),Lipid Metabolism Enzyme,,,,,COG2267,Lipid transport and metabolism,,,,,"[{'id': 'PF00756', 'name': 'Hydrolase_4'}]","['lipid metabolism', 'hydrolase', 'lysophospholipase']",['Amino Acid Biosynthesis'],Medium,Annotated as lysophospholipase based on product and PFAM domain. No KO or GO terms available; EC number not assigned but likely EC 3.1.1.5 (lysophospholipase). Useful for grouping under lipid metabolism enzymes.,
BFJEKD_08020,multidrug ABC transporter ATP-binding protein,ABC Transporter ATPase,['K01990'],['ko02010'],['ABC transporters'],['Membrane Transport'],COG1131,Inorganic ion transport and metabolism,,,"['GO:0016887', 'GO:0005524']","['ATPase activity', 'ATP binding']","[{'id': 'PF00005', 'name': 'ABC_tran'}]","['membrane transporter', 'ABC transporter', 'ATPase', 'multidrug resistance']",['Unknown & Hypothetical Proteins'],High,"Complete annotation with KO, GO, COG, and PFAM domains consistent with ABC transporter ATPase involved in multidrug transport. Suitable for grouping under membrane transporters.",
BFJEKD_08025,NADH dehydrogenase (ubiquinone) Fe-S protein 6,Respiratory Chain Complex I Subunit,['K03939'],['ko00190'],['Oxidative phosphorylation'],['Energy metabolism'],,,,,,,"[{'id': 'PF13465', 'name': 'zf-CHCC'}]","['respiratory chain', 'NADH dehydrogenase', 'Fe-S protein', 'oxidative phosphorylation']",['Amino Acid Biosynthesis'],Medium,"KO annotation indicates NADH dehydrogenase subunit involved in oxidative phosphorylation. PFAM domain is zinc-finger type, consistent with Fe-S cluster binding. No GO or COG annotations available.",
BFJEKD_08030,Permease of the drug/metabolite transporter (DMT) superfamily,Membrane Transporter - Drug/Metabolite Transporter,['K15270'],['map02060'],['Phosphotransferase system (PTS)'],['Membrane Transport'],COG0697,"Secondary metabolites biosynthesis, transport and catabolism",,,['GO:0016020'],['membrane'],"[{'id': 'PF00892', 'name': 'EamA'}]","['membrane transporter', 'drug/metabolite transporter', 'DMT superfamily']",['Amino Acid Biosynthesis'],High,Well-annotated transporter with KO and COG agreement; useful for grouping in membrane transport and drug/metabolite efflux systems.,
BFJEKD_08035,hypothetical protein,Unknown Function,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Protein Processing & Degradation'],Low,No functional annotation available; treat as unknown in downstream analyses.,
BFJEKD_08040,Molecular chaperone HtpG,Molecular Chaperones and Protein Folding,['K04079'],['map04141'],['Protein processing in endoplasmic reticulum'],"['Folding, sorting and degradation']",COG0326,"Posttranslational modification, protein turnover, chaperones",,,"['GO:0006457', 'GO:0005524', 'GO:0005515', 'GO:0005737', 'GO:0005622', 'GO:0009987', 'GO:0006950', 'GO:0005488', 'GO:0016887', 'GO:0043167']","['protein folding', 'ATP binding', 'protein binding', 'cytoplasm', 'intracellular organelle', 'cellular process', 'response to stress', 'molecular function', 'ATPase activity', 'protein refolding']","[{'id': 'PF02518', 'name': 'HATPase_c'}, {'id': 'PF13589', 'name': 'HATPase_c_3'}, {'id': 'PF00183', 'name': 'HSP90'}]","['molecular chaperone', 'protein folding', 'stress response', 'ATPase']",['Cell Wall & Envelope Biogenesis'],High,"Strong annotation with KO, COG, PFAM, and extensive GO terms; key protein folding chaperone for stress response.",
BFJEKD_08045,hypothetical protein,Unknown Function,,,,,,,,,,,,"['hypothetical protein', 'unknown function']",['Cell Wall & Envelope Biogenesis'],Low,No functional annotation available; treat as unknown in downstream analyses.,
BFJEKD_08050,Ribose ABC transporter permease,Membrane Transporter - ABC Transporter,,,,,,,,,['GO:0044238'],['primary active transmembrane transporter activity'],"[{'id': 'PF01247', 'name': 'Ribosomal_S30AE'}]","['membrane transporter', 'ABC transporter', 'ribose transport']","['Protein Folding, Quality Control & Stress Response']",Medium,"Annotated as ribose transporter permease with GO support; lacks KO and COG but PFAM domain suggests ribosomal association, may require further validation.",
BFJEKD_08055,ATP-dependent RNA helicase SUPV3L1/SUV3,RNA Helicase / RNA Metabolism,['K17675'],['ko03018'],['RNA degradation'],['Genetic Information Processing'],COG4581,Helicases involved in nucleic acid metabolism,['3.6.4.13'],['ATP-dependent RNA helicase'],['GO:0034458'],['RNA helicase activity'],"[{'id': 'PF00271', 'name': 'Helicase_C'}]","['RNA helicase', 'RNA metabolism', 'ATP-dependent enzyme', 'RNA degradation']",['Toxin-Antitoxin & Phage Defense'],High,"Complete annotation with KO, EC, GO, and PFAM domains consistent; key RNA helicase involved in RNA metabolism, suitable for grouping under RNA processing and degradation.",
BFJEKD_08060,RNA-binding protein S4 (ribosome-associated heat shock protein Hsp15),Ribosome-associated Protein / RNA Binding,['K04762'],['ko03010'],['Ribosome'],['Genetic Information Processing'],COG1188,Ribosome-associated proteins,,,['GO:0003723'],['RNA binding'],"[{'id': 'PF00013', 'name': 'S4'}]","['ribosome-associated', 'RNA binding', 'heat shock protein']",['Toxin-Antitoxin & Phage Defense'],High,"Well-annotated ribosome-associated RNA-binding protein, important for ribosome recycling and stress response.",
